"specie" "km" "X" "Y"
"Cinsidiosus" 24.7 357726.22 7732110.404
"Cinsidiosus" 24.9 357781.529 7731583.545
"Cinsidiosus" 26 357588.508 7730646.056
"Cinsidiosus" 26 357586.092 7730667.414
"Cinsidiosus" 26 357586.092 7730667.414
"Cinsidiosus" 26.1 357588.508 7730646.056
"Cinsidiosus" 26.4 357198.131 7730364.876
"Cinsidiosus" 26.4 357169.411 7730320.691
"Cinsidiosus" 26.5 357169.411 7730320.691
"Cinsidiosus" 26.5 357169.411 7730320.691
"Cinsidiosus" 27 356766.446 7730007.922
"Cinsidiosus" 27.8 355985.966 7729421.164
"Cinsidiosus" 28 355985.966 7729421.164
"Cinsidiosus" 28.5 355664.257 7729096.582
"Cinsidiosus" 28.8 355366.241 7728684.305
"Cinsidiosus" 29 355366.241 7728684.305
"Cinsidiosus" 31 354186.816 7727013.271
"Cinsidiosus" 31 354173.835 7727026.818
"Cinsidiosus" 31.7 353906.054 7726619.52
"Cinsidiosus" 32.5 353332.004 7725797.45
"Cinsidiosus" 34 352675.958 7724440.777
"Cinsidiosus" 37 351409.971 7721864.317
"Cinsidiosus" 37.5 351360.497 7721384.051
"Cinsidiosus" 37.5 351360.497 7721384.051
"Cinsidiosus" 38 351293.407 7720872.75
"Cinsidiosus" 38 351293.407 7720872.75
"Cinsidiosus" 38 351314.198 7720861.055
"Cinsidiosus" 38 351314.198 7720861.055
"Cinsidiosus" 39 350993.659 7719923.516
"Cinsidiosus" 39.8 350209.212 7719291.867
"Cinsidiosus" 40 350209.212 7719291.867
"Cinsidiosus" 40 350227.571 7719302.125
"Cinsidiosus" 40 350227.571 7719302.125
"Cinsidiosus" 40 350209.212 7719291.867
"Cinsidiosus" 41 349341.302 7719753.917
"Cinsidiosus" 41.8 348391.193 7719961.018
"Cinsidiosus" 42 348373.409 7719948.982
"Cinsidiosus" 42 348391.193 7719961.018
"Cinsidiosus" 42.8 347435.887 7720183.461
"Cinsidiosus" 43 347435.887 7720183.461
"Cinsidiosus" 43 347435.887 7720183.461
"Cinsidiosus" 43.2 347435.887 7720183.461
"Cinsidiosus" 43.6 346897.332 7720257.591
"Cinsidiosus" 43.9 346464.736 7720300.001
"Cinsidiosus" 44.3 345961.518 7720176.07
"Cinsidiosus" 44.4 345961.518 7720176.07
"Cinsidiosus" 44.5 345961.518 7720176.07
"Cinsidiosus" 44.6 345920.318 7720156.692
"Cinsidiosus" 44.7 345920.318 7720156.692
"Cinsidiosus" 44.9 345470.506 7720124.687
"Cinsidiosus" 45 345470.506 7720124.687
"Cinsidiosus" 45 345472.064 7720137.767
"Cinsidiosus" 45.1 345470.506 7720124.687
"Cinsidiosus" 45.5 344968.026 7720165.828
"Cinsidiosus" 45.7 344935.159 7720152.463
"Cinsidiosus" 45.8 344598.104 7719896.982
"Cinsidiosus" 46 344606.116 7719876.864
"Cinsidiosus" 46.3 344322.464 7719408.667
"Cinsidiosus" 47 344185.466 7718984.571
"Cinsidiosus" 48 343415.342 7718405.572
"Cinsidiosus" 48 343436.755 7718387.36
"Cinsidiosus" 48.4 342971.592 7718267.249
